noisy_image_path,original_image_path,noise_type,noise_params
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
